Video,Evento,PCB,Start_Frame,End_Frame
Assault004_x264.mp4,Assault,535.0,853.0,3085.0
Assault005_x264.mp4,Assault,,483.0,1093.0
Assault006_x264.mp4,Assault,127.0,1181.0,4422.0
Assault007_x264.mp4,Assault,330.0,668.0,1099.0
Assault008_x264.mp4,Assault,,461.0,1363.0
Assault009_x264.mp4,Assault,421.0,480.0,797.0
Assault010_x264.mp4,Assault,,,
Assault011_x264.mp4,Assault,174.0,448.0,1521.0
Assault012_x264.mp4,Assault,163.0,307.0,468.0
Assault013_x264.mp4,Assault,465.0,615.0,1022.0
Assault014_x264.mp4,Assault,110.0,313.0,1253.0
Assault015_x264.mp4,Assault,,444.0,1395.0
Assault016_x264.mp4,Assault,,518.0,1570.0
Assault017_x264.mp4,Assault,,2.0,20.0
Assault018_x264.mp4,Assault,,58.0,239.0
Assault019_x264.mp4,Assault,,,
Assault020_x264.mp4,Assault,,,
Assault022_x264.mp4,Assault,,98.0,923.0
Assault023_x264.mp4,Assault,,,
Assault024_x264.mp4,Assault,,,
Assault025_x264.mp4,Assault,,457.0,1160.0
Assault026_x264.mp4,Assault,,226.0,842.0
Assault027_x264.mp4,Assault,,,
Assault028_x264.mp4,Assault,359.0,624.0,1058.0
Assault029_x264.mp4,Assault,,19.0,609.0
Assault030_x264.mp4,Assault,675.0,773.0,1573.0
Assault031_x264.mp4,Assault,147.0,204.0,518.0
Assault032_x264.mp4,Assault,,,
Assault033_x264.mp4,Assault,245.0,661.0,1278.0
Assault034_x264.mp4,Assault,723.0,1566.0,1796.0
Assault035_x264.mp4,Assault,,110.0,827.0
Assault036_x264.mp4,Assault,,95.0,912.0
Assault037_x264.mp4,Assault,270.0,550.0,787.0
Assault038_x264.mp4,Assault,,,
Assault039_x264.mp4,Assault,,,
Assault040_x264.mp4,Assault,,,
Assault041_x264.mp4,Assault,,,
Assault042_x264.mp4,Assault,,158.0,1988.0
Assault044_x264.mp4,Assault,,,
Assault045_x264.mp4,Assault,,,
Assault046_x264.mp4,Assault,,,
Assault047_x264.mp4,Assault,,112.0,1790.0
Assault048_x264.mp4,Assault,,,
Assault049_x264.mp4,Assault,318.0,389.0,576.0
Assault050_x264.mp4,Assault,,85.0,623.0
Assault051_x264.mp4,Assault,204.0,281.0,577.0
Assault052_x264.mp4,Assault,,,
Burglary001_x264.mp4,Burglary,,,
Burglary002_x264.mp4,Burglary,,,
Burglary003_x264.mp4,Burglary,,,
Burglary004_x264.mp4,Burglary,,,
Burglary005_x264.mp4,Burglary,3720.0,4796.0,5212.0
Burglary006_x264.mp4,Burglary,,,
Burglary007_x264.mp4,Burglary,,,
Burglary008_x264.mp4,Burglary,,,
Burglary009_x264.mp4,Burglary,,,
Burglary010_x264.mp4,Burglary,2895.0,2937.0,5443.0
Burglary011_x264.mp4,Burglary,,87.0,1823.0
Burglary012_x264.mp4,Burglary,,,
Burglary013_x264.mp4,Burglary,,223.0,2062.0
Burglary014_x264.mp4,Burglary,,,
Burglary015_x264.mp4,Burglary,,,
Burglary016_x264.mp4,Burglary,,,
Burglary017_x264.mp4,Burglary,,86.0,721.0
Burglary018_x264.mp4,Burglary,,,
Burglary019_x264.mp4,Burglary,,27.0,2539.0
Burglary020_x264.mp4,Burglary,,,
Burglary021_x264.mp4,Burglary,,,
Burglary022_x264.mp4,Burglary,269.0,452.0,2333.0
Burglary023_x264.mp4,Burglary,,,
Burglary024_x264.mp4,Burglary,,104.0,1335.0
Burglary025_x264.mp4,Burglary,,,
Burglary026_x264.mp4,Burglary,,206.0,1454.0
Burglary027_x264.mp4,Burglary,,,
Burglary028_x264.mp4,Burglary,,,
Burglary029_x264.mp4,Burglary,,,
Burglary030_x264.mp4,Burglary,,,
Burglary031_x264.mp4,Burglary,,,
Burglary032_x264.mp4,Burglary,,,
Burglary033_x264.mp4,Burglary,,,
Burglary034_x264.mp4,Burglary,321.0,461.0,1114.0
Burglary035_x264.mp4,Burglary,,,
Burglary036_x264.mp4,Burglary,,115.0,1003.0
Burglary037_x264.mp4,Burglary,,,
Burglary038_x264.mp4,Burglary,,,
Burglary039_x264.mp4,Burglary,,,
Burglary040_x264.mp4,Burglary,,,
Burglary041_x264.mp4,Burglary,,432.0,1764.0
Burglary042_x264.mp4,Burglary,,,
Burglary043_x264.mp4,Burglary,,,
Burglary044_x264.mp4,Burglary,,614.0,3301.0
Burglary045_x264.mp4,Burglary,,,
Burglary046_x264.mp4,Burglary,,,
Burglary047_x264.mp4,Burglary,,,
Burglary048_x264.mp4,Burglary,203.0,455.0,1650.0
Burglary049_x264.mp4,Burglary,,46.0,561.0
Burglary050_x264.mp4,Burglary,,,
Burglary051_x264.mp4,Burglary,,,
Burglary052_x264.mp4,Burglary,380.0,1974.0,9978.0
Burglary053_x264.mp4,Burglary,,,
Burglary054_x264.mp4,Burglary,,,
Burglary055_x264.mp4,Burglary,,,
Burglary056_x264.mp4,Burglary,,,
Burglary057_x264.mp4,Burglary,,137.0,4754.0
Burglary058_x264.mp4,Burglary,,,
Burglary059_x264.mp4,Burglary,,,
Burglary060_x264.mp4,Burglary,,,
Burglary061_x264.mp4,Burglary,,,
Burglary062_x264.mp4,Burglary,,,
Burglary063_x264.mp4,Burglary,,,
Burglary064_x264.mp4,Burglary,,,
Burglary065_x264.mp4,Burglary,2905.0,4759.0,5758.0
Burglary066_x264.mp4,Burglary,,135.0,1727.0
Burglary067_x264.mp4,Burglary,,,
Burglary068_x264.mp4,Burglary,,235.0,579.0
Burglary069_x264.mp4,Burglary,,,
Burglary070_x264.mp4,Burglary,,,
Burglary071_x264.mp4,Burglary,,,
Burglary072_x264.mp4,Burglary,55.0,164.0,471.0
Burglary073_x264.mp4,Burglary,,,
Burglary074_x264.mp4,Burglary,,,
Burglary075_x264.mp4,Burglary,,,
Burglary076_x264.mp4,Burglary,,,
Burglary077_x264.mp4,Burglary,,396.0,1906.0
Burglary078_x264.mp4,Burglary,,,
Burglary079_x264.mp4,Burglary,,,
Burglary080_x264.mp4,Burglary,,,
Burglary081_x264.mp4,Burglary,,,
Burglary082_x264.mp4,Burglary,,,
Burglary083_x264.mp4,Burglary,,,
Burglary084_x264.mp4,Burglary,56.0,539.0,4348.0
Burglary085_x264.mp4,Burglary,,,
Burglary086_x264.mp4,Burglary,,,
Burglary087_x264.mp4,Burglary,114.0,767.0,2217.0
Burglary088_x264.mp4,Burglary,,134.0,1902.0
Burglary089_x264.mp4,Burglary,,145.0,3258.0
Burglary090_x264.mp4,Burglary,,,
Burglary091_x264.mp4,Burglary,114.0,604.0,3190.0
Burglary092_x264.mp4,Burglary,,319.0,625.0
Burglary093_x264.mp4,Burglary,374.0,601.0,762.0
Burglary094_x264.mp4,Burglary,,,
Burglary095_x264.mp4,Burglary,,,
Burglary096_x264.mp4,Burglary,,,
Burglary097_x264.mp4,Burglary,,,
Burglary098_x264.mp4,Burglary,,,
Burglary099_x264.mp4,Burglary,,,
Burglary100_x264.mp4,Burglary,,,
Fighting002_x264.mp4,Fighting,,91.0,1111.0
Fighting003_x264.mp4,Fighting,1361.0,1860.0,3102.0
Fighting004_x264.mp4,Fighting,,202.0,3513.0
Fighting005_x264.mp4,Fighting,267.0,995.0,1577.0
Fighting006_x264.mp4,Fighting,,306.0,752.0
Fighting007_x264.mp4,Fighting,,,
Fighting008_x264.mp4,Fighting,,,
Fighting009_x264.mp4,Fighting,735.0,1575.0,1999.0
Fighting010_x264.mp4,Fighting,,,
Fighting011_x264.mp4,Fighting,656.0,1708.0,3108.0
Fighting012_x264.mp4,Fighting,,,
Fighting013_x264.mp4,Fighting,,119.0,1434.0
Fighting014_x264.mp4,Fighting,,,
Fighting015_x264.mp4,Fighting,2211.0,2239.0,4197.0
Fighting016_x264.mp4,Fighting,,24.0,2084.0
Fighting017_x264.mp4,Fighting,,542.0,1304.0
Fighting018_x264.mp4,Fighting,,160.0,490.0
Fighting019_x264.mp4,Fighting,488.0,695.0,2095.0
Fighting020_x264.mp4,Fighting,,41.0,1704.0
Fighting021_x264.mp4,Fighting,,1137.0,2698.0
Fighting022_x264.mp4,Fighting,,,
Fighting023_x264.mp4,Fighting,,,
Fighting024_x264.mp4,Fighting,,104.0,2126.0
Fighting025_x264.mp4,Fighting,,633.0,2174.0
Fighting026_x264.mp4,Fighting,359.0,488.0,931.0
Fighting027_x264.mp4,Fighting,1169.0,2133.0,3336.0
Fighting028_x264.mp4,Fighting,,329.0,1794.0
Fighting029_x264.mp4,Fighting,,,
Fighting030_x264.mp4,Fighting,263.0,799.0,1209.0
Fighting031_x264.mp4,Fighting,942.0,2050.0,3817.0
Fighting032_x264.mp4,Fighting,,,
Fighting033_x264.mp4,Fighting,,619.0,1105.0
Fighting034_x264.mp4,Fighting,894.0,1694.0,3160.0
Fighting035_x264.mp4,Fighting,,,
Fighting036_x264.mp4,Fighting,,,
Fighting037_x264.mp4,Fighting,,,
Fighting038_x264.mp4,Fighting,106.0,339.0,803.0
Fighting039_x264.mp4,Fighting,,,
Fighting040_x264.mp4,Fighting,413.0,731.0,2329.0
Fighting041_x264.mp4,Fighting,,,
Fighting042_x264.mp4,Fighting,143.0,295.0,1302.0
Fighting043_x264.mp4,Fighting,323.0,585.0,1576.0
Fighting044_x264.mp4,Fighting,,,
Fighting045_x264.mp4,Fighting,,,
Fighting046_x264.mp4,Fighting,353.0,638.0,2995.0
Fighting047_x264.mp4,Fighting,82.0,384.0,1898.0
Fighting048_x264.mp4,Fighting,,,
Fighting049_x264.mp4,Fighting,,131.0,1086.0
Fighting050_x264.mp4,Fighting,,,
Fighting051_x264.mp4,Fighting,989.0,1294.0,3355.0
Robbery001_x264.mp4,Robbery,,,
Robbery002_x264.mp4,Robbery,,316.0,1609.0
Robbery003_x264.mp4,Robbery,,346.0,984.0
Robbery004_x264.mp4,Robbery,,311.0,1343.0
Robbery005_x264.mp4,Robbery,251.0,348.0,862.0
Robbery006_x264.mp4,Robbery,,422.0,2700.0
Robbery007_x264.mp4,Robbery,,845.0,1951.0
Robbery008_x264.mp4,Robbery,,623.0,2257.0
Robbery009_x264.mp4,Robbery,1000.0,1183.0,2971.0
Robbery010_x264.mp4,Robbery,922.0,1101.0,2539.0
Robbery011_x264.mp4,Robbery,367.0,498.0,1627.0
Robbery012_x264.mp4,Robbery,314.0,358.0,749.0
Robbery013_x264.mp4,Robbery,,76.0,3595.0
Robbery014_x264.mp4,Robbery,3153.0,3871.0,7243.0
Robbery015_x264.mp4,Robbery,,96.0,2644.0
Robbery016_x264.mp4,Robbery,184.0,864.0,1430.0
Robbery017_x264.mp4,Robbery,,1313.0,3542.0
Robbery018_x264.mp4,Robbery,235.0,254.0,2879.0
Robbery019_x264.mp4,Robbery,,330.0,5761.0
Robbery020_x264.mp4,Robbery,1009.0,1498.0,3027.0
Robbery021_x264.mp4,Robbery,,298.0,495.0
Robbery022_x264.mp4,Robbery,,,
Robbery023_x264.mp4,Robbery,95.0,187.0,991.0
Robbery024_x264.mp4,Robbery,,156.0,2138.0
Robbery025_x264.mp4,Robbery,51.0,181.0,814.0
Robbery026_x264.mp4,Robbery,4141.0,4267.0,6003.0
Robbery027_x264.mp4,Robbery,,777.0,5400.0
Robbery028_x264.mp4,Robbery,,191.0,1414.0
Robbery029_x264.mp4,Robbery,849.0,912.0,1814.0
Robbery030_x264.mp4,Robbery,,,
Robbery031_x264.mp4,Robbery,49.0,391.0,1028.0
Robbery032_x264.mp4,Robbery,1052.0,1098.0,1681.0
Robbery033_x264.mp4,Robbery,,116.0,950.0
Robbery034_x264.mp4,Robbery,228.0,406.0,5017.0
Robbery035_x264.mp4,Robbery,3031.0,3141.0,4653.0
Robbery036_x264.mp4,Robbery,332.0,577.0,1125.0
Robbery037_x264.mp4,Robbery,5182.0,5517.0,6381.0
Robbery038_x264.mp4,Robbery,,462.0,1681.0
Robbery039_x264.mp4,Robbery,,,
Robbery040_x264.mp4,Robbery,225.0,731.0,1044.0
Robbery041_x264.mp4,Robbery,,76.0,1348.0
Robbery042_x264.mp4,Robbery,125.0,1554.0,2116.0
Robbery043_x264.mp4,Robbery,,,
Robbery044_x264.mp4,Robbery,,189.0,468.0
Robbery045_x264.mp4,Robbery,1058.0,1286.0,2047.0
Robbery046_x264.mp4,Robbery,,,
Robbery047_x264.mp4,Robbery,,56.0,1469.0
Robbery048_x264.mp4,Robbery,,,
Robbery049_x264.mp4,Robbery,,,
Robbery050_x264.mp4,Robbery,483.0,553.0,1520.0
Robbery051_x264.mp4,Robbery,195.0,249.0,1594.0
Robbery052_x264.mp4,Robbery,,,
Robbery053_x264.mp4,Robbery,569.0,639.0,1099.0
Robbery054_x264.mp4,Robbery,229.0,455.0,1960.0
Robbery055_x264.mp4,Robbery,,,
Robbery056_x264.mp4,Robbery,,108.0,2688.0
Robbery057_x264.mp4,Robbery,,100.0,2145.0
Robbery058_x264.mp4,Robbery,,225.0,1591.0
Robbery059_x264.mp4,Robbery,,312.0,1401.0
Robbery060_x264.mp4,Robbery,,98.0,2106.0
Robbery061_x264.mp4,Robbery,,532.0,1959.0
Robbery062_x264.mp4,Robbery,,150.0,1883.0
Robbery063_x264.mp4,Robbery,360.0,529.0,1428.0
Robbery064_x264.mp4,Robbery,,,
Robbery065_x264.mp4,Robbery,,,
Robbery066_x264.mp4,Robbery,,111.0,1186.0
Robbery067_x264.mp4,Robbery,86.0,749.0,2551.0
Robbery068_x264.mp4,Robbery,,,
Robbery069_x264.mp4,Robbery,,,
Robbery070_x264.mp4,Robbery,,65.0,591.0
Robbery071_x264.mp4,Robbery,136.0,370.0,1328.0
Robbery072_x264.mp4,Robbery,174.0,311.0,1167.0
Robbery073_x264.mp4,Robbery,,,
Robbery074_x264.mp4,Robbery,,,
Robbery075_x264.mp4,Robbery,,,
Robbery076_x264.mp4,Robbery,,,
Robbery077_x264.mp4,Robbery,,69.0,689.0
Robbery078_x264.mp4,Robbery,,,
Robbery079_x264.mp4,Robbery,250.0,385.0,748.0
Robbery080_x264.mp4,Robbery,,,
Robbery081_x264.mp4,Robbery,,,
Robbery082_x264.mp4,Robbery,,,
Robbery084_x264.mp4,Robbery,137.0,229.0,796.0
Robbery085_x264.mp4,Robbery,,182.0,1874.0
Robbery086_x264.mp4,Robbery,363.0,1216.0,3252.0
Robbery087_x264.mp4,Robbery,,83.0,436.0
Robbery088_x264.mp4,Robbery,,248.0,3601.0
Robbery089_x264.mp4,Robbery,,84.0,272.0
Robbery090_x264.mp4,Robbery,761.0,838.0,2316.0
Robbery091_x264.mp4,Robbery,,,
Robbery092_x264.mp4,Robbery,,,
Robbery093_x264.mp4,Robbery,622.0,762.0,833.0
Robbery094_x264.mp4,Robbery,,51.0,386.0
Robbery095_x264.mp4,Robbery,,,
Robbery096_x264.mp4,Robbery,1616.0,2175.0,3710.0
Robbery097_x264.mp4,Robbery,,,
Robbery098_x264.mp4,Robbery,,,
Robbery099_x264.mp4,Robbery,,,
Robbery100_x264.mp4,Robbery,731.0,878.0,4168.0
Robbery101_x264.mp4,Robbery,300.0,1232.0,2367.0
Robbery102_x264.mp4,Robbery,827.0,1133.0,1794.0
Robbery103_x264.mp4,Robbery,,,
Robbery104_x264.mp4,Robbery,,,
Robbery083_x264.mp4,Robbery,,104.0,966.0
Robbery105_x264.mp4,Robbery,,560.0,1049.0
Robbery106_x264.mp4,Robbery,303.0,562.0,696.0
Robbery107_x264.mp4,Robbery,,,
Robbery108_x264.mp4,Robbery,96.0,355.0,552.0
Robbery109_x264.mp4,Robbery,,,
Robbery110_x264.mp4,Robbery,,,
Robbery111_x264.mp4,Robbery,154.0,1002.0,2319.0
Robbery112_x264.mp4,Robbery,377.0,603.0,983.0
Robbery113_x264.mp4,Robbery,,140.0,535.0
Robbery114_x264.mp4,Robbery,,,
Robbery115_x264.mp4,Robbery,,157.0,1735.0
Robbery116_x264.mp4,Robbery,,,
Robbery117_x264.mp4,Robbery,,,
Robbery118_x264.mp4,Robbery,,,
Robbery119_x264.mp4,Robbery,,346.0,1580.0
Robbery120_x264.mp4,Robbery,,223.0,815.0
Robbery121_x264.mp4,Robbery,,1000.0,1402.0
Robbery122_x264.mp4,Robbery,,351.0,969.0
Robbery123_x264.mp4,Robbery,,323.0,888.0
Robbery124_x264.mp4,Robbery,,,
Robbery125_x264.mp4,Robbery,4119.0,4519.0,5035.0
Robbery126_x264.mp4,Robbery,,593.0,1153.0
Robbery127_x264.mp4,Robbery,,94.0,723.0
Robbery128_x264.mp4,Robbery,,,
Robbery129_x264.mp4,Robbery,,106.0,1812.0
Robbery130_x264.mp4,Robbery,,,
Robbery131_x264.mp4,Robbery,,,
Robbery132_x264.mp4,Robbery,,233.0,654.0
Robbery133_x264.mp4,Robbery,,,
Robbery134_x264.mp4,Robbery,,,
Robbery135_x264.mp4,Robbery,,,
Robbery136_x264.mp4,Robbery,186.0,566.0,1110.0
Robbery137_x264.mp4,Robbery,,162.0,1981.0
Robbery138_x264.mp4,Robbery,,86.0,623.0
Robbery139_x264.mp4,Robbery,,320.0,965.0
Robbery140_x264.mp4,Robbery,,,
Robbery141_x264.mp4,Robbery,312.0,676.0,1329.0
Robbery142_x264.mp4,Robbery,,858.0,2503.0
Robbery143_x264.mp4,Robbery,224.0,264.0,724.0
Robbery144_x264.mp4,Robbery,,,
Robbery145_x264.mp4,Robbery,,102.0,1342.0
Robbery146_x264.mp4,Robbery,,116.0,727.0
Robbery147_x264.mp4,Robbery,,,
Robbery148_x264.mp4,Robbery,,,
Robbery149_x264.mp4,Robbery,,147.0,938.0
Robbery150_x264.mp4,Robbery,,,
Shooting001_x264.mp4,Shooting,,,
Shooting002_x264.mp4,Shooting,,,
Shooting003_x264.mp4,Shooting,325.0,638.0,2216.0
Shooting004_x264.mp4,Shooting,,,
Shooting005_x264.mp4,Shooting,,,
Shooting006_x264.mp4,Shooting,,,
Shooting007_x264.mp4,Shooting,,,
Shooting008_x264.mp4,Shooting,,,
Shooting009_x264.mp4,Shooting,,,
Shooting010_x264.mp4,Shooting,,,
Shooting011_x264.mp4,Shooting,392.0,669.0,1558.0
Shooting012_x264.mp4,Shooting,,,
Shooting013_x264.mp4,Shooting,,,
Shooting014_x264.mp4,Shooting,,126.0,1400.0
Shooting015_x264.mp4,Shooting,,,
Shooting017_x264.mp4,Shooting,,,
Shooting018_x264.mp4,Shooting,,,
Shooting019_x264.mp4,Shooting,,,
Shooting020_x264.mp4,Shooting,,,
Shooting021_x264.mp4,Shooting,,,
Shooting022_x264.mp4,Shooting,2361.0,2897.0,3398.0
Shooting023_x264.mp4,Shooting,,,
Shooting024_x264.mp4,Shooting,,,
Shooting025_x264.mp4,Shooting,,,
Shooting026_x264.mp4,Shooting,,,
Shooting027_x264.mp4,Shooting,,,
Shooting028_x264.mp4,Shooting,,227.0,477.0
Shooting029_x264.mp4,Shooting,,,
Shooting030_x264.mp4,Shooting,329.0,552.0,1142.0
Shooting031_x264.mp4,Shooting,,,
Shooting032_x264.mp4,Shooting,,,
Shooting033_x264.mp4,Shooting,,,
Shooting034_x264.mp4,Shooting,601.0,816.0,1263.0
Shooting036_x264.mp4,Shooting,,181.0,983.0
Shooting037_x264.mp4,Shooting,,,
Shooting038_x264.mp4,Shooting,,,
Shooting039_x264.mp4,Shooting,,,
Shooting040_x264.mp4,Shooting,,,
Shooting041_x264.mp4,Shooting,,,
Shooting042_x264.mp4,Shooting,,,
Shooting043_x264.mp4,Shooting,,,
Shooting044_x264.mp4,Shooting,,,
Shooting046_x264.mp4,Shooting,,,
Shooting047_x264.mp4,Shooting,,,
Shooting048_x264.mp4,Shooting,,,
Shooting050_x264.mp4,Shooting,,,
Shooting051_x264.mp4,Shooting,117.0,391.0,683.0
Shooting052_x264.mp4,Shooting,,,
Shooting053_x264.mp4,Shooting,,84.0,785.0
Shooting054_x264.mp4,Shooting,,,
Shoplifting001_x264.mp4,Shoplifting,537.0,1534.0,2340.0
Shoplifting003_x264.mp4,Shoplifting,,,
Shoplifting004_x264.mp4,Shoplifting,,,
Shoplifting005_x264.mp4,Shoplifting,,,
Shoplifting006_x264.mp4,Shoplifting,,,
Shoplifting007_x264.mp4,Shoplifting,205.0,549.0,1296.0
Shoplifting008_x264.mp4,Shoplifting,,,
Shoplifting009_x264.mp4,Shoplifting,,,
Shoplifting010_x264.mp4,Shoplifting,189.0,655.0,1549.0
Shoplifting012_x264.mp4,Shoplifting,,,
Shoplifting013_x264.mp4,Shoplifting,,,
Shoplifting014_x264.mp4,Shoplifting,,,
Shoplifting015_x264.mp4,Shoplifting,1088.0,1989.0,2256.0
Shoplifting016_x264.mp4,Shoplifting,,331.0,1316.0
Shoplifting017_x264.mp4,Shoplifting,,,
Shoplifting018_x264.mp4,Shoplifting,,,
Shoplifting019_x264.mp4,Shoplifting,206.0,283.0,464.0
Shoplifting020_x264.mp4,Shoplifting,1836.0,2263.0,2603.0
Shoplifting021_x264.mp4,Shoplifting,,,
Shoplifting022_x264.mp4,Shoplifting,,,
Shoplifting024_x264.mp4,Shoplifting,,,
Shoplifting025_x264.mp4,Shoplifting,,457.0,1824.0
Shoplifting026_x264.mp4,Shoplifting,,,
Shoplifting027_x264.mp4,Shoplifting,,,
Shoplifting028_x264.mp4,Shoplifting,216.0,399.0,1180.0
Shoplifting029_x264.mp4,Shoplifting,206.0,1015.0,1524.0
Shoplifting030_x264.mp4,Shoplifting,,,
Shoplifting031_x264.mp4,Shoplifting,,97.0,447.0
Shoplifting032_x264.mp4,Shoplifting,,,
Shoplifting033_x264.mp4,Shoplifting,,,
Shoplifting034_x264.mp4,Shoplifting,,,
Shoplifting036_x264.mp4,Shoplifting,,,
Shoplifting037_x264.mp4,Shoplifting,,,
Shoplifting038_x264.mp4,Shoplifting,,,
Shoplifting039_x264.mp4,Shoplifting,539.0,1741.0,2413.0
Shoplifting040_x264.mp4,Shoplifting,,,
Shoplifting041_x264.mp4,Shoplifting,,,
Shoplifting042_x264.mp4,Shoplifting,,2.0,28.0
Shoplifting043_x264.mp4,Shoplifting,,,
Shoplifting044_x264.mp4,Shoplifting,,,
Shoplifting045_x264.mp4,Shoplifting,,,
Shoplifting047_x264.mp4,Shoplifting,,,
Shoplifting048_x264.mp4,Shoplifting,111.0,210.0,444.0
Shoplifting049_x264.mp4,Shoplifting,,,
Shoplifting050_x264.mp4,Shoplifting,,,
Shoplifting051_x264.mp4,Shoplifting,,,
Shoplifting052_x264.mp4,Shoplifting,253.0,911.0,2133.0
